iri,label,kind,draft_definition,draft_comment,source,approved
https://w3id.org/h2kg/hydrogen-ontology#hasParameter,hasParameter,object_property,hasParameter is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for hasParameter based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#hasProperty,hasProperty,object_property,hasProperty is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for hasProperty based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#usesInstrument,usesInstrument,object_property,usesInstrument is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for usesInstrument based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#hasInputMaterial,hasInputMaterial,object_property,hasInputMaterial is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for hasInputMaterial based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#hasOutputMaterial,hasOutputMaterial,object_property,hasOutputMaterial is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for hasOutputMaterial based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#hasOutputData,hasOutputData,object_property,hasOutputData is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for hasOutputData based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#hasInputData,hasInputData,object_property,hasInputData is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for hasInputData based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#measures,measures,object_property,measures is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for measures based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#ofProperty,ofProperty,object_property,ofProperty is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for ofProperty based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#fromMeasurement,fromMeasurement,object_property,fromMeasurement is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for fromMeasurement based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#isPartOf,isPartOf,object_property,isPartOf is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for isPartOf based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#hasIdentifier,hasIdentifier,datatype_property,hasIdentifier is a release-ready H2KG datatype property that should remain reviewable and human-readable.,Drafted annotation for hasIdentifier based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#Agent,Agent,class,Agent is a release-ready H2KG class that should remain reviewable and human-readable.,Drafted annotation for Agent based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#Instrument,Instrument,class,Instrument is a release-ready H2KG class that should remain reviewable and human-readable.,Drafted annotation for Instrument based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#hasSubProcess,hasSubProcess,object_property,hasSubProcess is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for hasSubProcess based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#atCurrentDensity,atCurrentDensity,object_property,atCurrentDensity is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for atCurrentDensity based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#Parameter,Parameter,class,Parameter is a release-ready H2KG class that should remain reviewable and human-readable.,Drafted annotation for Parameter based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#Unit,Unit,class,Unit is a release-ready H2KG class that should remain reviewable and human-readable.,Drafted annotation for Unit based on local term structure and ontology scope.,heuristic,no
https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Reference Electrode,class,Reference Electrode is a release-ready H2KG class that should remain reviewable and human-readable.,Drafted annotation for electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29 based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#Process,Process,class,Process is a release-ready H2KG class that should remain reviewable and human-readable.,Drafted annotation for Process based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#Manufacturing,Manufacturing,class,Manufacturing is a release-ready H2KG class that should remain reviewable and human-readable.,Drafted annotation for Manufacturing based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#hasPart,hasPart,object_property,hasPart is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for hasPart based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#hasQuantityValue,hasQuantityValue,object_property,hasQuantityValue is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for hasQuantityValue based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#referenceElectrode,referenceElectrode,object_property,referenceElectrode is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for referenceElectrode based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#Data,Data,class,Data is a release-ready H2KG class that should remain reviewable and human-readable.,Drafted annotation for Data based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#isSubProcessOf,isSubProcessOf,object_property,isSubProcessOf is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for isSubProcessOf based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#normalizedTo,normalizedTo,object_property,normalizedTo is a release-ready H2KG object property that should remain reviewable and human-readable.,Drafted annotation for normalizedTo based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#DataPoint,Data Point,class,Data Point is a release-ready H2KG class that should remain reviewable and human-readable.,Drafted annotation for DataPoint based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#Matter,Matter,class,Matter is a release-ready H2KG class that should remain reviewable and human-readable.,Drafted annotation for Matter based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#Metadata,Metadata,class,Metadata is a release-ready H2KG class that should remain reviewable and human-readable.,Drafted annotation for Metadata based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#Measurement,Measurement,class,Measurement is a release-ready H2KG class that should remain reviewable and human-readable.,Drafted annotation for Measurement based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#Property,Property,class,Property is a release-ready H2KG class that should remain reviewable and human-readable.,Drafted annotation for Property based on local term structure and ontology scope.,heuristic,no
https://w3id.org/h2kg/hydrogen-ontology#NormalizationBasis,Normalization Basis,class,Normalization Basis is a release-ready H2KG class that should remain reviewable and human-readable.,Drafted annotation for NormalizationBasis based on local term structure and ontology scope.,heuristic,no
